# aldehyde local-chromophore size series (xyz/bench_steom). Columns: name  xyz_relpath  natoms  tags
formaldehyde	../xyz/bench_steom/formaldehyde.xyz	4	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
acetaldehyde	../xyz/bench_steom/acetaldehyde.xyz	7	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
propanal	../xyz/bench_steom/propanal.xyz	10	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
butanal	../xyz/bench_steom/butanal.xyz	13	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
pentanal	../xyz/bench_steom/pentanal.xyz	16	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
hexanal	../xyz/bench_steom/hexanal.xyz	19	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
heptanal	../xyz/bench_steom/heptanal.xyz	22	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
octanal	../xyz/bench_steom/octanal.xyz	25	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
nonanal	../xyz/bench_steom/nonanal.xyz	28	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
decanal	../xyz/bench_steom/decanal.xyz	31	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
undecanal	../xyz/bench_steom/undecanal.xyz	34	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
dodecanal	../xyz/bench_steom/dodecanal.xyz	37	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
tridecanal	../xyz/bench_steom/tridecanal.xyz	40	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
tetradecanal	../xyz/bench_steom/tetradecanal.xyz	43	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
hexadecanal	../xyz/bench_steom/hexadecanal.xyz	49	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
octadecanal	../xyz/bench_steom/octadecanal.xyz	55	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
icosanal	../xyz/bench_steom/icosanal.xyz	61	rihf,rimp2,dlpno_ccsd,dlpno_ccsd_t,dlpno_steom
